Test
Latitude	Longitude	Alpha	
       11.686878       154.71365     0.014922753
       11.745385       154.70018     0.016708026
       11.803842       154.68666    0.0042080258
       11.862350       154.67317    0.0095651686
       11.920864       154.65942     0.014922753
       11.979423       154.64597     0.014922753
       12.037930       154.63248    0.0024227533
       12.096239       154.61900    0.0077798962
       12.154805       154.60527     0.016708468
       12.213115       154.59180    0.0042084676
       12.271733       154.57809     0.011351325
       12.330096       154.56465    0.0042084676
       12.388715       154.55095    0.0095656105
       12.447077       154.53749     0.014922753
       12.505694       154.52377   0.00063703904
       12.564111       154.51035    0.0094610740
       12.622534       154.49664    0.0041624760
       12.680957       154.48296    0.0059286753
       12.739372       154.46951    0.0059286753
       12.797851       154.45584     0.011227273
       12.856329       154.44217    0.0094610740
       12.914806       154.42850   0.00063007725
       12.973276       154.41507    0.0041624760
       13.031811       154.40141   0.00063007725
       13.090287       154.38773     0.011227273
       13.148820       154.37407     0.011227273
       13.207163       154.36043    0.0059286753
       13.265696       154.34676    0.0041624760
       13.324039       154.33313    0.0094610740
       13.382628       154.31947    0.0076948747
       13.440971       154.30583     0.011227273
       13.499560       154.29218    0.0078677054
       13.557961       154.27855    0.0096735745
       13.616369       154.26466    0.0060618363
       13.675016       154.25104    0.0096735745
       13.733417       154.23740    0.0060618363
       13.791876       154.22379    0.0060622831
       13.850283       154.20988     0.015091629
       13.908742       154.19626     0.011479890
       13.967261       154.18268    0.0060622831
       14.025727       154.16878   0.00064467592
       14.084247       154.15518    0.0078681522
       14.142518       154.14159    0.0096740213
       14.201045       154.12772     0.015091629
       14.259563       154.11411    0.0078681522
       14.317904       154.10027    0.0042564141
       14.376493       154.08641    0.0024505450
       14.434825       154.07281     0.015192800
       14.493412       154.05896    0.0024669729
       14.551807       154.04539    0.0042849481
       14.610147       154.03152    0.0061029234
       14.668797       154.01768    0.0042851731
       14.727199       154.00383    0.0079208986
       14.785657       153.99028    0.0079208986
       14.844124       153.97646    0.0079208986
       14.902590       153.96263    0.0097388738
       14.961056       153.94881    0.0061029234
       15.019521       153.93497    0.0061029234
       15.077806       153.92116     0.020646725
       15.136335       153.90733     0.013375049
       15.194866       153.89352     0.013374374
       15.253395       153.87970    0.0061024736
       15.311679       153.86586    0.0042844983
       15.370274       153.85207     0.013145842
       15.428623       153.83826    0.0059981985
       15.486972       153.82445    0.0024243768
       15.545633       153.81065    0.0095720203
       15.604050       153.79686     0.013145842
       15.662397       153.78304     0.018506575
       15.720890       153.76901   -0.0011494450
       15.779305       153.75520    0.0095720203
       15.837789       153.74142    0.0059981985
       15.896212       153.72734    0.0095720203
       15.954694       153.71355    0.0077855516
       16.013245       153.69978    0.0095724624
       16.071491       153.68571    0.0059986407
       16.130043       153.67195   0.00063790804
       16.188358       153.65790    0.0042117298
       16.246908       153.64412    0.0024250400
       16.305294       153.63010   0.00064693072
       16.363844       153.61630     0.020594794
       16.422228       153.60226    0.0042738150
       16.480612       153.58823    0.0097141414
       16.539059       153.57448    0.0042738150
       16.597687       153.56042    0.0097141414
       16.656141       153.54640     0.013341026
       16.714588       153.53264    0.0024603729
       16.772799       153.51860    0.0079006993
       16.831326       153.50459    0.0079006993
       16.889778       153.49054     0.022408236
       16.948296       153.47678     0.013341026
       17.006653       153.46278    0.0097148145
